date,tmax,tmin,precip,tmean
2014-01-01,12.2,-1.6,0.5,5.3
2014-01-02,11.1,-4.3,3.3,3.4
2014-01-03,1.7,-7.1,0.0,-2.6999999999999997
2014-01-04,10.6,-2.7,0.0,3.9499999999999997
2014-01-05,11.1,-7.7,12.4,1.6999999999999997
2014-01-06,-7.8,-12.1,0.0,-9.95
2014-01-07,-1.6,-13.2,0.0,-7.3999999999999995
2014-01-08,6.7,-6.6,0.3,0.050000000000000266
2014-01-09,8.3,0.6,13.0,4.45
2014-01-10,15.0,7.2,36.1,11.1
2014-01-11,14.4,4.4,2.3,9.4
2014-01-12,16.7,0.0,0.0,8.35
2014-01-13,15.0,6.1,12.4,10.55
2014-01-14,16.1,0.6,0.0,8.350000000000001
2014-01-15,6.1,-4.3,0.0,0.8999999999999999
2014-01-16,12.2,-3.8,0.0,4.199999999999999
2014-01-17,6.1,-3.8,0.0,1.15
2014-01-18,12.8,-6.6,0.0,3.1000000000000005
2014-01-19,10.0,-1.0,0.0,4.5
2014-01-20,17.8,1.1,0.0,9.450000000000001
2014-01-21,8.9,-6.6,0.0,1.1500000000000004
2014-01-22,3.9,-8.8,0.0,-2.45
2014-01-23,0.6,-8.2,0.0,-3.8
2014-01-24,0.0,-12.7,0.0,-6.35
2014-01-25,11.7,-1.6,0.0,5.05
2014-01-26,17.8,-2.1,0.0,7.8500000000000005
2014-01-27,11.1,-6.0,0.0,2.55
2014-01-28,-3.8,-9.3,0.0,-6.550000000000001
2014-01-29,1.7,-12.1,0.0,-5.2
2014-01-30,7.8,-7.7,0.0,0.04999999999999982
2014-01-31,14.4,5.0,0.0,9.7
2014-02-01,21.1,11.1,0.0,16.1
2014-02-02,17.8,-1.0,40.1,8.4
2014-02-03,-0.5,-3.8,0.0,-2.15
2014-02-04,1.7,-1.0,73.2,0.35
2014-02-05,1.7,-2.7,0.0,-0.5000000000000001
2014-02-06,-2.1,-6.6,0.0,-4.35
2014-02-07,-2.1,-7.1,0.0,-4.6
2014-02-08,2.8,-2.7,1.0,0.04999999999999982
2014-02-09,3.9,0.6,0.0,2.25
2014-02-10,2.8,-3.2,0.0,-0.20000000000000018
2014-02-11,2.2,-7.1,0.0,-2.4499999999999997
2014-02-12,1.1,-2.7,0.3,-0.8
2014-02-13,10.6,-4.9,0.0,2.8499999999999996
2014-02-14,10.6,1.1,6.6,5.85
2014-02-15,7.8,-3.8,0.0,2.0
2014-02-16,16.1,1.7,0.0,8.9
2014-02-17,21.1,5.0,0.5,13.05
2014-02-18,22.8,2.8,0.0,12.8
2014-02-19,20.6,15.0,0.8,17.8
2014-02-20,23.3,6.7,0.0,15.0
2014-02-21,15.6,3.3,0.0,9.45
2014-02-22,19.4,1.7,0.0,10.549999999999999
2014-02-23,16.7,4.4,0.0,10.55
2014-02-24,10.6,0.0,0.0,5.3
2014-02-25,12.8,2.8,2.0,7.800000000000001
2014-02-26,2.8,-4.3,0.0,-0.75
2014-02-27,9.4,-5.5,0.0,1.9500000000000002
2014-02-28,13.9,-0.5,1.5,6.7
2014-03-01,21.7,8.3,0.0,15.0
2014-03-02,18.3,-0.5,60.7,8.9
2014-03-03,-0.5,-9.3,0.3,-4.9
2014-03-04,1.1,-7.1,0.0,-3.0
2014-03-05,4.4,-1.0,0.0,1.7000000000000002
2014-03-06,5.6,0.6,0.0,3.0999999999999996
2014-03-07,15.6,-1.6,0.0,7.0
2014-03-08,18.9,3.3,0.0,11.1
2014-03-09,11.7,5.0,0.0,8.35
2014-03-10,20.0,2.2,0.0,11.1
2014-03-11,25.0,10.0,0.0,17.5
2014-03-12,18.3,6.1,0.0,12.2
2014-03-13,17.8,0.6,0.0,9.200000000000001
2014-03-14,18.3,7.2,0.0,12.75
2014-03-15,20.0,7.2,1.5,13.6
2014-03-16,15.0,2.2,10.2,8.6
2014-03-17,8.9,0.6,0.0,4.75
2014-03-18,17.2,0.6,0.0,8.9
2014-03-19,17.8,8.9,0.0,13.350000000000001
2014-03-20,19.4,4.4,0.0,11.899999999999999
